@relation probabilidad-uso

@attribute target-tiene numeric {0,1}
@attribute vecino-tiene numeric {0,1}
@attribute disc-gatt REAL
@attribute prob-uso REAL

@data
1,1,0.14285714285714285,1.0
1,1,0.14285714285714285,1.0
1,1,0.14285714285714285,1.0
1,1,0.14285714285714285,1.0
1,1,0.14285714285714285,1.0
1,1,0.14285714285714285,1.0
1,1,0.14285714285714285,1.0
1,1,0.14285714285714285,1.0
1,1,0.14285714285714285,1.0
1,1,0.14285714285714285,1.0
1,1,0.14285714285714285,1.0
1,1,0.14285714285714285,1.0
1,1,0.14285714285714285,1.0
1,1,0.14285714285714285,1.0
1,1,0.14285714285714285,1.0
