@relation probabilidad-uso

@attribute target-tiene numeric {0,1}
@attribute vecino-tiene numeric {0,1}
@attribute disc-gatt REAL
@attribute prob-uso REAL

@data
1,1,0.14285714285714285,0.28846153846153844
1,1,0.14285714285714285,0.31097560975609756
1,1,0.14285714285714285,0.3026315789473684
1,1,0.14285714285714285,0.21739130434782608
1,1,0.14285714285714285,0.8533333333333334
1,1,0.14285714285714285,0.8372093023255814
1,1,0.16666666666666666,0.3288590604026846
1,1,0.14285714285714285,0.32919254658385094
1,1,0.2,0.9215686274509803
1,1,0.14285714285714285,0.8895705521472392
1,1,0.16666666666666666,0.532051282051282
1,1,0.14285714285714285,0.879746835443038
1,1,0.14285714285714285,0.7845303867403315
1,1,0.14285714285714285,0.43506493506493504
1,1,0.16666666666666666,0.4591194968553459
