@relation probabilidad-uso

@attribute target-tiene numeric {0,1}
@attribute vecino-tiene numeric {0,1}
@attribute disc-gatt REAL
@attribute prob-uso REAL

@data
1,1,0.14285714285714285,0.9871794871794872
1,1,0.14285714285714285,0.9573170731707317
1,1,0.14285714285714285,0.9671052631578947
1,1,0.14285714285714285,0.9316770186335404
1,1,0.14285714285714285,1.0
1,1,0.14285714285714285,0.9069767441860465
1,1,0.14285714285714285,1.0
1,1,0.14285714285714285,0.9875776397515528
1,1,0.14285714285714285,0.9803921568627451
1,1,0.14285714285714285,0.9570552147239264
1,1,0.14285714285714285,0.9935897435897436
1,1,0.14285714285714285,1.0
1,1,0.14285714285714285,0.9502762430939227
1,1,0.14285714285714285,1.0
1,1,0.14285714285714285,0.9433962264150944
